FID,id,latitude,longitude,country,sample_size,hbaa,hbas,hbss,malaria_hypothesis,population_estimates,area_type,source,citation,country_id,malaria_metrics_available,identifiedproblem
HbS_Data.fid--5a9ebec4_181ab14c941_1d76,559,1.8657,9.763,Equatorial Guinea,50,,10,,NO,YES,Large polygon (>100 km2),IBD01387,"Modica, R. E. and J. R. Flores (1970). ""Sickle-cell haemoglobin in Equatorial Guinea."" Transactions of the Royal Society of Tropical Medicine and Hygiene 64(5): 730-732.",GNQ,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1c19,81,1.9276,-65.431,Venezuela,60,60,0,0,NO,YES,Point (? 10 km2),IBD00111,"Arends, T., G. Brewer, et al. (1967). ""Intratribal genetic differentiation among the Yanomama Indians of southern Venezuela."" Proceedings of the National Academy of Sciences of the United States of America 57(5): 1252-1259.",VEN,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1cfb,468,2.042,15.208,Cameroon,350,,42,,NO,YES,Large polygon (>100 km2),IBD01151,"Languillon, J. and A. Delas (1957). ""Not Available."" Médecine Tropicale : Revue du Corps de Santé Colonial 17(6): 830-835.",CMR,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1c1a,82,2.2536,-65.5362,Venezuela,76,76,0,0,NO,YES,Point (? 10 km2),IBD00111,"Arends, T., G. Brewer, et al. (1967). ""Intratribal genetic differentiation among the Yanomama Indians of southern Venezuela."" Proceedings of the National Academy of Sciences of the United States of America 57(5): 1252-1259.",VEN,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1faa,1286,2.334,99.084,Indonesia,,,,,,,,IBD03325,"Dewi, M. (2011) personal communication",IDN,FALSE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1c1c,83,2.3876,-65.2371,Venezuela,59,59,0,0,NO,YES,Point (? 10 km2),IBD00111,"Arends, T., G. Brewer, et al. (1967). ""Intratribal genetic differentiation among the Yanomama Indians of southern Venezuela."" Proceedings of the National Academy of Sciences of the United States of America 57(5): 1252-1259.",VEN,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1c1d,84,2.4104,-64.8347,Venezuela,34,34,0,0,NO,YES,Point (? 10 km2),IBD00111,"Arends, T., G. Brewer, et al. (1967). ""Intratribal genetic differentiation among the Yanomama Indians of southern Venezuela."" Proceedings of the National Academy of Sciences of the United States of America 57(5): 1252-1259.",VEN,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1c07,85,2.4454,-64.9131,Venezuela,34,34,0,0,NO,YES,Point (? 10 km2),IBD00111,"Arends, T., G. Brewer, et al. (1967). ""Intratribal genetic differentiation among the Yanomama Indians of southern Venezuela."" Proceedings of the National Academy of Sciences of the United States of America 57(5): 1252-1259.",VEN,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1c1e,86,2.4722,-65.0142,Venezuela,52,52,0,0,NO,YES,Point (? 10 km2),IBD00111,"Arends, T., G. Brewer, et al. (1967). ""Intratribal genetic differentiation among the Yanomama Indians of southern Venezuela."" Proceedings of the National Academy of Sciences of the United States of America 57(5): 1252-1259.",VEN,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1c1f,87,2.4908,-65.1896,Venezuela,43,43,0,0,NO,YES,Point (? 10 km2),IBD00111,"Arends, T., G. Brewer, et al. (1967). ""Intratribal genetic differentiation among the Yanomama Indians of southern Venezuela."" Proceedings of the National Academy of Sciences of the United States of America 57(5): 1252-1259.",VEN,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1fa9,1137,2.51,-65.219,Venezuela,,,,,,,,IBD03283,Arends (2009) personal communication,VEN,FALSE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1c22,88,2.5114,-65.2432,Venezuela,79,79,0,0,NO,YES,Point (? 10 km2),IBD00111,"Arends, T., G. Brewer, et al. (1967). ""Intratribal genetic differentiation among the Yanomama Indians of southern Venezuela."" Proceedings of the National Academy of Sciences of the United States of America 57(5): 1252-1259.",VEN,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1bc3,137,2.631,15.374,Cameroon,357,309,43,1,YES,YES,Point (? 10 km2),IBD00213,"Bernstein, S. C., J. E. Bowman, et al. (1980). ""Population studies in Cameroon: hbs, G-6pd deficiency and falciparum malaria."" Human Heredity 30: 251-258.",CMR,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1d7c,582,2.665,12.668,Cameroon,712,588,122,2,YES,YES,Small polygon (>25 and ? 100 km2),IBD01462,"Nguematcha, R., J. F. Savina, et al. (1973). ""Recherche de latare drepanocytaire dans un groupe Pygmee du Sud Cameroun."" Medecine d'Afrique Noire 20: 605-606.",CMR,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1c24,89,2.7363,-64.8574,Venezuela,50,50,0,0,NO,YES,Point (? 10 km2),IBD00111,"Arends, T., G. Brewer, et al. (1967). ""Intratribal genetic differentiation among the Yanomama Indians of southern Venezuela."" Proceedings of the National Academy of Sciences of the United States of America 57(5): 1252-1259.",VEN,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1daf,643,2.8365,17.3649,Congo,537,500,37,0,YES,YES,,IBD01656,"Ravisse, P. (1952). ""Recherches sur la sicklémie chez les Pygmées de l'Afrique Equitoriale Française."" L'Anthropologie 56: 491-493.",COG,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1db0,644,2.8365,17.3649,Congo,221,165,56,0,NO,YES,,IBD01656,"Ravisse, P. (1952). ""Recherches sur la sicklémie chez les Pygmées de l'Afrique Equitoriale Française."" L'Anthropologie 56: 491-493.",COG,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1c0f,90,2.8601,-65.2371,Venezuela,80,80,0,0,NO,YES,Point (? 10 km2),IBD00111,"Arends, T., G. Brewer, et al. (1967). ""Intratribal genetic differentiation among the Yanomama Indians of southern Venezuela."" Proceedings of the National Academy of Sciences of the United States of America 57(5): 1252-1259.",VEN,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1c6d,215,2.911,-52.4475,French Guiana,106,106,0,0,NO,YES,,IBD00401,"Cabannes, R., A. Beurrier, et al. (1965). ""[Thalassemia in the Indians of French Guiana]."" Nouvelle Revue Française d'Hématologie 5(4): 617-629.",GUF,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1eb2,977,2.919,11.148,Cameroon,156,,34,,NO,YES,Point (? 10 km2),IBD02781,"Le Hesran, J. Y., I. Personne, et al. (1999). ""Longitudinal study of Plasmodium falciparum infection and immune responses in infants with or without the sickle cell trait."" International Journal of Epidemiology 28(4): 793-798.",CMR,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1bff,53,2.9253,34.208,Uganda,50,46,4,,YES,YES,,IBD00063,"Allbrook, D., N. A. Barnicot, et al. (1965). ""Blood groups, haemoglobin and serum factors of the Karamojo."" Human Biology 37(3): 217-237.",UGA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1d0c,418,3.025,30.898,Uganda,473,464,9,,YES,YES,Large polygon (>100 km2),IBD01006,"Jelliffe, D. B., F. J. Bennett, et al. (1962). ""The children of the Lugbara. A study in the techniques of paediatric field survey in tropical Africa."" Tropical and Geographical Medicine 14: 33-50.",UGA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1efb,1287,3.068,98.516,Indonesia,,,,,,,,IBD03325,"Dewi, M. (2011) personal communication",IDN,FALSE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1fa6,1138,3.151,-65.835,Venezuela,,,,,,,,IBD03283,Arends (2009) personal communication,VEN,FALSE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1cbc,379,3.153,101.712,Malaysia,916,916,0,,NO,YES,Large polygon (>100 km2),IBD00795,"George, E. and R. Khuziah (1984). ""Malays with thalassaemia in West Malaysia."" Tropical and Geographical Medicine 36(2): 123-125.",MYS,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1adb,216,3.2822,-53.8633,French Guiana,33,33,0,0,NO,YES,,IBD00401,"Cabannes, R., A. Beurrier, et al. (1965). ""[Thalassemia in the Indians of French Guiana]."" Nouvelle Revue Française d'Hématologie 5(4): 617-629.",GUF,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1d0b,417,3.295,32.868,Uganda,380,322,58,,YES,YES,Large polygon (>100 km2),IBD01005,"Jelliffe, D. B., F. J. Bennett, et al. (1963). ""The Health of Acholi Children. (with Special Reference to Congenital Abnormalities Following an Epidemic of ""O'nyong-Nyong"")."" Tropical and Geographical Medicine 15: 411-421.",UGA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1ed1,1134,3.754,8.777,Equatorial Guinea,273,208,39,8,YES,YES,Point (? 10 km2),IBD03278,"Ropero, P., L. Molina, et al. (2009). ""[Incidence of sickle cell disease in Equatorial Guinea.]."" Medicina clinica (Barcelona).",GNQ,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1c90,237,3.838,-54.184,French Guiana,378,,50,,NO,YES,,IBD00416,"Cabannes, R., A. Schmidt-Beurrier, et al. (1966). ""Etude des protéines, des haptoglobines, des transférrines et des hémoglobines d'une population noire de Guyane française (Boni)."" Bulletin de la Société de Pathologie Exotique et de ses Filiales 59: 908-916.",GUF,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1e56,872,3.851,10.517,Cameroon,186,156,30,0,YES,YES,Point (? 10 km2),IBD02482,"Deloron, P., P. Ringwald, et al. (1999). ""Relationships between malaria prevalence and malaria-related morbidity in school children from two villages in central Africa."" American Journal of Tropical Medicine and Hygiene 61(1): 99-102.",CMR,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1ce8,370,3.871,11.517,Cameroon,773,577,193,3,YES,YES,Large polygon (>100 km2),IBD00760,"Gamet, A. (1964). ""Premiere etude sur les hemoglobinoses au centre-Cameroun."" Bulletin de la Societe de Pathologie Exotique et de ses Filiales 57: 1125-1133.",CMR,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1f35,1252,3.883,-77.042,Colombia,399,353,19,0,NO,YES,Point (? 10 km2),IBD03311,"De Bernal, M., A. Collazos, et al. (2010). ""Determination of the prevalence of hemoglobin S, C, D, and G in neonates from Buenaventura, Colombia."" Colombia Medica 41(2): 141-147.",COL,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1cdd,353,3.934,32.049,Sudan,71,58,13,,YES,YES,Point (? 10 km2),IBD00736,"Foy, H., A. Kondi, et al. (1964). ""The variability of sickle-cell rates in tribes of Kenya and the Southern Sudan."" British Medical Journal 1: 294-297.",SDN,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1cc4,354,4.097,30.663,Sudan,300,269,31,,YES,YES,Point (? 10 km2),IBD00736,"Foy, H., A. Kondi, et al. (1964). ""The variability of sickle-cell rates in tribes of Kenya and the Southern Sudan."" British Medical Journal 1: 294-297.",SDN,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1c86,217,4.1254,-51.7921,French Guiana,75,74,1,0,NO,YES,,IBD00401,"Cabannes, R., A. Beurrier, et al. (1965). ""[Thalassemia in the Indians of French Guiana]."" Nouvelle Revue Française d'Hématologie 5(4): 617-629.",GUF,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1c43,138,4.135,9.499,Cameroon,76,57,19,0,YES,YES,Point (? 10 km2),IBD00213,"Bernstein, S. C., J. E. Bowman, et al. (1980). ""Population studies in Cameroon: hbs, G-6pd deficiency and falciparum malaria."" Human Heredity 30: 251-258.",CMR,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1c45,139,4.354,11.633,Cameroon,107,77,26,0,YES,YES,Point (? 10 km2),IBD00213,"Bernstein, S. C., J. E. Bowman, et al. (1980). ""Population studies in Cameroon: hbs, G-6pd deficiency and falciparum malaria."" Human Heredity 30: 251-258.",CMR,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1bdc,355,4.411,32.552,Sudan,84,77,7,,YES,YES,Point (? 10 km2),IBD00736,"Foy, H., A. Kondi, et al. (1964). ""The variability of sickle-cell rates in tribes of Kenya and the Southern Sudan."" British Medical Journal 1: 294-297.",SDN,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1bdd,356,4.433,32.645,Sudan,72,72,0,,YES,YES,Point (? 10 km2),IBD00736,"Foy, H., A. Kondi, et al. (1964). ""The variability of sickle-cell rates in tribes of Kenya and the Southern Sudan."" British Medical Journal 1: 294-297.",SDN,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1c46,140,4.601,9.032,Cameroon,87,68,19,0,YES,YES,Point (? 10 km2),IBD00213,"Bernstein, S. C., J. E. Bowman, et al. (1980). ""Population studies in Cameroon: hbs, G-6pd deficiency and falciparum malaria."" Human Heredity 30: 251-258.",CMR,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1c47,141,4.616,9.015,Cameroon,78,54,24,0,YES,YES,Point (? 10 km2),IBD00213,"Bernstein, S. C., J. E. Bowman, et al. (1980). ""Population studies in Cameroon: hbs, G-6pd deficiency and falciparum malaria."" Human Heredity 30: 251-258.",CMR,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1dea,744,4.734,21.383,Central African Republic,396,330,65,1,YES,YES,,IBD01924,"Spedini, G., E. Capucci, et al. (1981). ""Some genetic erythrocyte polymorphisms in the Mbugu and other populations of the Central African Republic with an analysis of genetic distances."" Anthropologischer Anzeiger 39(1): 10-19.",CAF,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1ca6,276,4.742,22.821,Central African Republic,149,134,15,0,YES,YES,Point (? 10 km2),IBD00549,"Cresta, M. (1964). ""[Morphological and Serological Anthropometry of the N'zakaras of the Republic of Central Africa.]."" La Ricerca Scientifica. 2. ser., pt. 2: Rendiconti. Sezione B: Biologica 14: 131-142.",CAF,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1c6b,357,4.749,31.583,Sudan,100,93,7,,YES,YES,Point (? 10 km2),IBD00736,"Foy, H., A. Kondi, et al. (1964). ""The variability of sickle-cell rates in tribes of Kenya and the Southern Sudan."" British Medical Journal 1: 294-297.",SDN,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1ea5,965,4.785,7.004,Nigeria,620,498,122,0,YES,YES,Point (? 10 km2),IBD02702,"Jeremiah, Z. A. (2006). ""Abnormal haemoglobin variants, ABO and Rh blood groups among student of African descent in Port Harcourt, Nigeria."" African Health Sciences 6(3): 177-181.",NGA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1c3e,218,4.8248,-52.3504,French Guiana,117,117,0,0,NO,YES,,IBD00401,"Cabannes, R., A. Beurrier, et al. (1965). ""[Thalassemia in the Indians of French Guiana]."" Nouvelle Revue Française d'Hématologie 5(4): 617-629.",GUF,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1c81,358,4.852,31.603,Sudan,71,69,2,,YES,YES,Point (? 10 km2),IBD00736,"Foy, H., A. Kondi, et al. (1964). ""The variability of sickle-cell rates in tribes of Kenya and the Southern Sudan."" British Medical Journal 1: 294-297.",SDN,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1b5a,873,4.8703,9.8572,Cameroon,259,235,21,,NO,YES,Point (? 10 km2),IBD02485,"Destro-Bisol, G. and G. Spedini (1989). ""Anthropological survey on red cell glutathione peroxidase (GPX1) polymorphism in central western Africa: a tentative hypothesis on the interaction between GPX1*2 and Hb beta *S allelic products."" American Journal of Physical Anthropology 79(2): 217-224.",CMR,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1e57,874,4.918,9.9,Cameroon,77,70,7,,NO,YES,Point (? 10 km2),IBD02485,"Destro-Bisol, G. and G. Spedini (1989). ""Anthropological survey on red cell glutathione peroxidase (GPX1) polymorphism in central western Africa: a tentative hypothesis on the interaction between GPX1*2 and Hb beta *S allelic products."" American Journal of Physical Anthropology 79(2): 217-224.",CMR,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1e5a,875,4.956,9.937,Cameroon,116,94,13,,NO,YES,Point (? 10 km2),IBD02485,"Destro-Bisol, G. and G. Spedini (1989). ""Anthropological survey on red cell glutathione peroxidase (GPX1) polymorphism in central western Africa: a tentative hypothesis on the interaction between GPX1*2 and Hb beta *S allelic products."" American Journal of Physical Anthropology 79(2): 217-224.",CMR,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1ca8,359,5.044,32.455,Sudan,96,88,8,,YES,YES,Point (? 10 km2),IBD00736,"Foy, H., A. Kondi, et al. (1964). ""The variability of sickle-cell rates in tribes of Kenya and the Southern Sudan."" British Medical Journal 1: 294-297.",SDN,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1c09,147,5.0916,-7.8832,Liberia,125,106,4,0,YES,YES,,IBD00242,"Bienzle, U., H. Komp, et al. (1983). ""The distribution and interaction of haemoglobin variants and the beta thalassaemia gene in Liberia."" Human Genetics 63(4): 400-403.",LBR,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1ba7,629,5.134,100.967,Malaysia,18,18,,,NO,YES,Point (? 10 km2),IBD01607,"Polunin, I. and P. H. A. Sneath (1953). ""Studies of blood groups in South-East Asia."" Journal of the Royal Anthropological Institute of Britain and Ireland 83: 215-251.",MYS,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1b35,1,5.1469,-2.3267,Ghana,60,42,12,0,YES,YES,,IBD00006,"Acquaye, C. T. A. and J. H. Oldham (1973). ""Variants of haemoglobin and glucose-6-phosphate dehydrogenase - I. Distribution in Southern Ghana."" Ghana Medical Journal 12: 412-418.",GHA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1c3a,127,5.167,10.199,Cameroon,543,498,45,0,YES,YES,,IBD00185,"Becquet, R., T. Gasteau, et al. (1959). ""Drepanocytosis in Pays Bamileke (Cameroons). Statistical study."" Bulletin de la Societe de Pathologie Exotique et de ses Filiales 52: 836-843.",CMR,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1b2c,148,5.1693,-8.8306,Liberia,127,102,11,1,YES,YES,,IBD00242,"Bienzle, U., H. Komp, et al. (1983). ""The distribution and interaction of haemoglobin variants and the beta thalassaemia gene in Liberia."" Human Genetics 63(4): 400-403.",LBR,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1d1c,438,5.1983,9.289,Cameroon,318,234,80,0,YES,YES,Large polygon (>100 km2),IBD01056,"Kaptue-Noche, L., J. F. Mbantenkhu, et al. (1983). Geographic distribution of human hemoglobins and thalassemia in Cameroon, Middle and East Africa. Distribution and Evolution of the Haemoglobin and Globin Loci. J. E. Bowman. New York, Elsevier: 159-166.",CMR,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1b36,2,5.2763,-1.4276,Ghana,95,74,13,0,YES,YES,,IBD00006,"Acquaye, C. T. A. and J. H. Oldham (1973). ""Variants of haemoglobin and glucose-6-phosphate dehydrogenase - I. Distribution in Southern Ghana."" Ghana Medical Journal 12: 412-418.",GHA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1bbb,976,5.3091,-3.9819,Côte d'Ivoire,263,202,36,,NO,YES,Point (? 10 km2),IBD02778,"Le Gallais, D., J. Lonsdorfer, et al. (1989). ""Prevalence of the sickle cell trait among students in a physical education college in Cote-d'Ivoire."" Nouvelle Revue Francaise d'Hematologie 31(6): 409-412.",CIV,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1f88,240,5.333,-4.031,Côte d'Ivoire,229,,22,,NO,YES,,IBD00420,"Cabannes, R., B. Sy, et al. (1967). ""Etudes des haemolobines en Cote d'Ivoire."" Medecine d'Afrique Noire 14: 367-374.",CIV,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1d9e,630,5.335,101.367,Malaysia,48,48,,,NO,YES,Point (? 10 km2),IBD01607,"Polunin, I. and P. H. A. Sneath (1953). ""Studies of blood groups in South-East Asia."" Journal of the Royal Anthropological Institute of Britain and Ireland 83: 215-251.",MYS,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1e0c,791,5.341,-0.624,Ghana,464,,67,5,NO,YES,Large polygon (>100 km2),IBD02152,"Weatherall, D. J., H. M. Gilles, et al. (1971). ""Preliminary surveys for the prevalence of the thalassemia genes in some African populations."" Annals of Tropical Medicine and Parasitology 65(2): 253-265.",GHA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1cde,360,5.442,31.735,Sudan,105,87,18,,YES,YES,Point (? 10 km2),IBD00736,"Foy, H., A. Kondi, et al. (1964). ""The variability of sickle-cell rates in tribes of Kenya and the Southern Sudan."" British Medical Journal 1: 294-297.",SDN,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1bd8,631,5.451,101.216,Malaysia,35,35,,,NO,YES,Point (? 10 km2),IBD01607,"Polunin, I. and P. H. A. Sneath (1953). ""Studies of blood groups in South-East Asia."" Journal of the Royal Anthropological Institute of Britain and Ireland 83: 215-251.",MYS,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1d6c,632,5.49,101.3425,Malaysia,50,50,,,NO,YES,Point (? 10 km2),IBD01607,"Polunin, I. and P. H. A. Sneath (1953). ""Studies of blood groups in South-East Asia."" Journal of the Royal Anthropological Institute of Britain and Ireland 83: 215-251.",MYS,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1cee,378,5.513,10.636,Cameroon,284,224,59,1,YES,YES,Point (? 10 km2),IBD00793,"Gentilini, M., J. L. M'Bengue, et al. (1972). ""[Results of the electrophoretic study of hemoglobin in 500 Cameroonds of the Foumbot region (East Cameroon)]."" Médecine Tropicale : Revue du Corps de Santé Colonial 32(5): 579-585.",CMR,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1c9e,238,5.534,-3.967,Côte d'Ivoire,1498,1394,104,0,YES,YES,Point (? 10 km2),IBD00418,"Cabannes, R., B. Sy, et al. (1970). ""Etude hemotypologique et biologique des Attie du village d'Atiekwa."" Medecine d'Afrique Noire 17: 835-841.",CIV,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1ac1,797,5.538,-0.226,Ghana,4000,2938,654,0,YES,YES,Point (? 10 km2),IBD02197,"Yawson, G. and E. C. Marbell (1973). ""Abnormal haemoglobins in 4000 blood donors at Korle Bu."" Ghana Medical Journal 12: 22-26.",GHA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1ca3,273,5.55,-0.684,Ghana,243,200,55,0,YES,YES,Point (? 10 km2),IBD00508,"Colbourne, M. J., G. M. Edington, et al. (1950). ""A medical survey in a Gold Coast village."" Transactions of the Royal Society of Tropical Medicine and Hygiene 44(3): 271-290.",GHA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1ca4,274,5.55,-0.684,Ghana,255,,60,0,NO,YES,Point (? 10 km2),IBD00508,"Colbourne, M. J., G. M. Edington, et al. (1950). ""A medical survey in a Gold Coast village."" Transactions of the Royal Society of Tropical Medicine and Hygiene 44(3): 271-290.",GHA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1e30,3,5.5587,-0.515,Ghana,90,65,16,0,NO,YES,,IBD00006,"Acquaye, C. T. A. and J. H. Oldham (1973). ""Variants of haemoglobin and glucose-6-phosphate dehydrogenase - I. Distribution in Southern Ghana."" Ghana Medical Journal 12: 412-418.",GHA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1b3d,404,5.561,-0.201,Ghana,222,175,36,0,YES,NO,Small polygon (>25 and ? 100 km2),IBD00892,"Hathorn, M. (1963). ""Haemoglobin levels in pregnant women in Accra."" Ghana Medical Journal 2: 55-61.",GHA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1b9f,271,5.561,-0.201,Ghana,909,756,153,,YES,NO,Small polygon (>25 and ? 100 km2),IBD00507,"Colbourne, M. J. and G. M. Edington (1956). ""Sickling and malaria in the Gold Coast."" British Medical Journal(4970): 784-786.",GHA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1f28,1118,5.561,-0.201,Ghana,1664,1168,160,2,YES,YES,Small polygon (>25 and ? 100 km2),IBD03257,"Edington, G. M. (1959). Some observations on the abnormal haemoglobin disease in Ghana. C.I.O.M.S. Symposium on Abnormal Haemogllobins. J. H. P. Jonxis and J. F. Delafresnaye, Blackwell Scientific Publications: 290-299.",GHA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1c4c,149,5.5894,-8.6099,Liberia,132,112,1,0,YES,YES,,IBD00242,"Bienzle, U., H. Komp, et al. (1983). ""The distribution and interaction of haemoglobin variants and the beta thalassaemia gene in Liberia."" Human Genetics 63(4): 400-403.",LBR,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1c5c,219,5.6308,-53.8644,French Guiana,214,192,21,0,NO,YES,,IBD00401,"Cabannes, R., A. Beurrier, et al. (1965). ""[Thalassemia in the Indians of French Guiana]."" Nouvelle Revue Française d'Hématologie 5(4): 617-629.",GUF,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1c48,142,5.658,9.2906,Cameroon,118,84,30,0,YES,YES,Point (? 10 km2),IBD00213,"Bernstein, S. C., J. E. Bowman, et al. (1980). ""Population studies in Cameroon: hbs, G-6pd deficiency and falciparum malaria."" Human Heredity 30: 251-258.",CMR,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1fb0,1139,5.666,-67.636,Venezuela,,,,,,,,IBD03283,Arends (2009) personal communication,VEN,FALSE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1f8e,1147,5.6667,-67.5833,Venezuela,,,,,,,,IBD03284,"Arends, A. (2010) personal communication",VEN,FALSE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1da0,633,5.784,100.899,Malaysia,25,25,,,NO,YES,Point (? 10 km2),IBD01607,"Polunin, I. and P. H. A. Sneath (1953). ""Studies of blood groups in South-East Asia."" Journal of the Royal Anthropological Institute of Britain and Ireland 83: 215-251.",MYS,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1ab9,206,5.785,-0.167,Ghana,613,433,100,3,YES,YES,Small polygon (>25 and ? 100 km2),IBD00370,"Bruce-Tagoe, A. A., D. W. Belcher, et al. (1977). ""Haematological values in a rural Ghanaian population."" Tropical and Geographical Medicine 29(3): 237-244.",GHA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1e31,4,5.7925,-0.236,Ghana,66,49,7,0,NO,YES,,IBD00006,"Acquaye, C. T. A. and J. H. Oldham (1973). ""Variants of haemoglobin and glucose-6-phosphate dehydrogenase - I. Distribution in Southern Ghana."" Ghana Medical Journal 12: 412-418.",GHA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1af5,794,5.8808,-10.0467,Liberia,9,,0,0,NO,YES,,IBD02176,"Willcox, M. C. and L. Beckman (1981). ""Haemoglobin variants, beta-thalassaemia and G-6-PD types in Liberia."" Human Heredity 31(6): 339-347.",LBR,TRUE,FALSE
