FID,id,latitude,longitude,country,sample_size,hbaa,hbas,hbss,malaria_hypothesis,population_estimates,area_type,source,citation,country_id,malaria_metrics_available,identifiedproblem
HbS_Data.fid--5a9ebec4_181ab14c941_1ec6,1008,25.359,49.562,Saudi Arabia,9568,7680,1792,96,NO,YES,Point (? 10 km2),IBD02905,"Nasserullah, Z., A. Al Jame, et al. (1998). ""Neonatal screening for sickle cell disease, glucose-6-phosphate dehydrogenase deficiency and a-thalassemia in Qatif and Al Hasa."" Annals of Saudi Medicine 18(4): 289-292.",SAU,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1cea,372,25.367,49.717,Saudi Arabia,28,19,9,,NO,YES,,IBD00785,"Gelpi, A. P. (1967). ""Glucose-6-phosphate dehydrogenase deficiency, the sickling trait, and malaria in Saudi Arab children."" Journal of Pediatrics 71(1): 138-146.",SAU,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1cf0,384,25.368,49.586,Saudi Arabia,357,303,50,4,NO,YES,Large polygon (>100 km2),IBD00824,"Goedde, H. W., H. G. Benkmann, et al. (1979). ""Genetic studies in Saudi Arabia: red cell enzyme, haemoglobin and serum protein polymorphisms."" American Journal of Physical Anthropology 50(2): 271-277.",SAU,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1ad3,373,25.385,49.732,Saudi Arabia,72,65,7,,NO,YES,,IBD00785,"Gelpi, A. P. (1967). ""Glucose-6-phosphate dehydrogenase deficiency, the sickling trait, and malaria in Saudi Arab children."" Journal of Pediatrics 71(1): 138-146.",SAU,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1afd,227,25.402,8.416,Algeria,74,74,0,0,YES,YES,Point (? 10 km2),IBD00405,"Cabannes, R., P. Lefevre-Witier, et al. (1967). ""III. Etude des hemoglobines dans les populations du Tassili N'Ajjer."" Bulletins et Mémoires de la Société d'Anthropologie de Paris 12(1): 434-439.",DZA,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1ceb,374,25.435,49.666,Saudi Arabia,110,97,13,,NO,YES,Point (? 10 km2),IBD00785,"Gelpi, A. P. (1967). ""Glucose-6-phosphate dehydrogenase deficiency, the sickling trait, and malaria in Saudi Arab children."" Journal of Pediatrics 71(1): 138-146.",SAU,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1de2,732,25.436,30.556,Egypt,329,295,34,0,YES,YES,Large polygon (>100 km2),IBD01821,"Selim, O., K. Kamel, et al. (1974). ""Genetic markers and anthropometry in the populations of the Egyptian oases of El-Kharga and El-Dakhla."" Human Heredity 24(3): 259-272.",EGY,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1de3,733,25.5,29.167,Egypt,95,90,5,0,YES,YES,Large polygon (>100 km2),IBD01821,"Selim, O., K. Kamel, et al. (1974). ""Genetic markers and anthropometry in the populations of the Egyptian oases of El-Kharga and El-Dakhla."" Human Heredity 24(3): 259-272.",EGY,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1cfc,398,25.728,-79.3,Bahamas,492,392,68,0,NO,YES,Wide-area (>10 and ? 25 km2),IBD00871,"Halberstein, R. A., J. E. Davies, et al. (1981). ""Hemoglobin variations on a small Bahamian island."" American Journal of Physical Anthropology 55(2): 217-221.",BHS,TRUE,FALSE
HbS_Data.fid--5a9ebec4_181ab14c941_1f84,1023,25.7906,-80.215,United States of America,5103,,,,NO,YES,Large polygon (>100 km2),IBD02975,"Pegelow, C. H. and A. K. Mack (1989). ""Incidence of hemoglobins S and C in infants born in Miami to recent Haitian immigrants."" Tropical and Geographical Medicine 41(4): 316-319.",USA,TRUE,FALSE
