ID,PMID,DOI,Hardy-Weinberg value,hbaa,hbas,hbss,HbAC,HbSC,HbCC,HbFA,HbFAS,HbFS,HbFSC,HbFAC,Other bloodtyping,Typing method,Demographic (age in years),Spatial location(s),ADM-0 (country),ADM-1,ADM-2,ADM-3,ADM-4,Adjusted longitude,Adjusted latitude,Original longitude,Original latitude,API ADM,API Lon,Lon-API Lon,API Lat,Lat-API Lat,Spatial accuracy,Area finest spatial unit [sq.km],Study period FROM,Study period TO,Publication year,identifiedproblem
146,33293746,10.2471/BLT.20.253583,1.027283953,333,87,4,,,,,,,,,,TaqMan PCR probe,0-2 years,,Tanzania,Shinyanga Region,Kishapu District,,,33.4884,-3.8857,33.4884,-3.8857,Kishapu District,33.70706,-0.2187,-3.72917,-0.1565,ADM-2,16829,1/2/2017,1/5/2018,2020,FALSE
147,33293746,10.2471/BLT.20.253583,1.019868216,230,50,2,,,,,,,,,,TaqMan PCR probe,0-2 years,,Tanzania,Mwanza Region,Kwimba District,,,33.2555,-2.5763,33.2555,-2.5763,Kwimba District,33.34861,-0.0931,-3.06055,0.4843,ADM-2,4225,1/2/2017,1/5/2018,2020,FALSE
148,33293746,10.2471/BLT.20.253583,1.007431629,53,5,,,,,,,,,,,TaqMan PCR probe,0-2 years,,Tanzania,Kagera Region,Kyerwa District,,,30.8649,-1.5926,30.8649,-1.5926,Kyerwa District,30.80395,0.0609,-1.2399,-0.3527,ADM-2,1773,1/2/2017,1/5/2018,2020,FALSE
149,33293746,10.2471/BLT.20.253583,1.013341015,541,116,7,,,,,,,,,,TaqMan PCR probe,0-2 years,,Tanzania,Mwanza Region,Magu District,,,33.4186,-2.6345,33.4186,-2.6345,Magu District,33.48319,-0.0646,-2.61789,-0.0166,ADM-2,2556,1/2/2017,1/5/2018,2020,FALSE
150,33293746,10.2471/BLT.20.253583,1.033339489,223,60,2,,,,,,,,,,TaqMan PCR probe,0-2 years,,Tanzania,Singida Region,Manyoni District,,,34.0050,-6.2863,34.0050,-5.0347,Manyoni District,34.15319,-0.1482,-6.74534,1.7106,ADM-2,27143,1/2/2017,1/5/2018,2020,FALSE
151,33293746,10.2471/BLT.20.253583,1.014767661,167,45,4,,,,,,,,,,TaqMan PCR probe,0-2 years,,Tanzania,Simiyu Region,Maswa District,,,33.7618,-3.2149,33.7618,-3.2149,Maswa District,33.70706,0.0547,-3.18327,-0.0316,ADM-2,5812,1/2/2017,1/5/2018,2020,FALSE
152,33293746,10.2471/BLT.20.253583,1.008842196,215,53,5,,,,,,,,,,TaqMan PCR probe,0-2 years,,Tanzania,Geita Region,Mbogwe District,,,32.0334,-3.3768,32.0334,-3.3768,Mbogwe District,32.22001,-0.1866,-3.47916,0.1024,ADM-2,5120,1/2/2017,1/5/2018,2020,FALSE
153,33293746,10.2471/BLT.20.253583,1.009974059,167,50,6,,,,,,,,,,TaqMan PCR probe,0-2 years,,Tanzania,Simiyu Region,Meatu District,,,34.0467,-3.6098,34.0467,-3.6098,Meatu District,34.33104,-0.2843,-3.49788,-0.1119,ADM-2,11080,1/2/2017,1/5/2018,2020,FALSE
154,33293746,10.2471/BLT.20.253583,1.031653431,134,29,,,,,,,,,,,TaqMan PCR probe,0-2 years,,Tanzania,Kagera Region,Missenyi District,,,31.5517,-1.3308,31.5517,-1.3308,Missenyi District,31.35416,0.1975,-1.1009,-0.2299,ADM-2,3366,1/2/2017,1/5/2018,2020,FALSE
155,33293746,10.2471/BLT.20.253583,1.018669135,334,86,6,,,,,,,,,3,TaqMan PCR probe,0-2 years,,Tanzania,Mwanza Region,Misungwi District,,,33.1098,-2.8194,33.1098,-2.8194,Misungwi District,32.98883,0.1210,-3.07311,0.2537,ADM-2,4427,1/2/2017,1/5/2018,2020,FALSE
156,33293746,10.2471/BLT.20.253583,1.0377,76,23,1,,,,,,,,,,TaqMan PCR probe,0-2 years,,Tanzania,Singida Region,Mkalama District,,,34.4914,-4.0559,34.4914,-4.0559,Mkalama District,34.64477,-0.1534,-4.11374,0.0578,ADM-2,6862,1/2/2017,1/5/2018,2020,FALSE
157,33293746,10.2471/BLT.20.253583,1.01469258,155,34,2,,,,,,,,,,TaqMan PCR probe,0-2 years,,Tanzania,Kagera Region,Muleba District,,,31.6734,-2.3893,31.6734,-2.3893,Muleba District,31.537,0.1364,-1.8955,-0.4938,ADM-2,5459,1/2/2017,1/5/2018,2020,FALSE
158,33293746,10.2471/BLT.20.253583,1.036989572,352,103,4,,,,,,,,,2,TaqMan PCR probe,0-2 years,,Tanzania,Mara Region,Musoma District,,,33.7984,-1.5089,33.7984,-1.5089,Musoma District,33.80763,-0.0092,-1.53036,0.0215,ADM-2,8391,1/2/2017,1/5/2018,2020,FALSE
159,33293746,10.2471/BLT.20.253583,0.9985351563,53,10,1,,,,,,,,,,TaqMan PCR probe,0-2 years,,Tanzania,Kagera Region,Ngara District,,,30.7605,-2.5347,30.7605,-2.5347,Ngara District,30.666,0.0945,-2.63068,0.0960,ADM-2,2989,1/2/2017,1/5/2018,2020,FALSE
160,33293746,10.2471/BLT.20.253583,1.019557339,876,216,13,,,,,,,,,2,TaqMan PCR probe,0-2 years,,Tanzania,Mwanza Region,Nyamagana District,,,32.9066,-2.5249,32.9066,-2.5249,Nyamagana District,32.9663,-0.0597,-2.58286,0.0580,ADM-2,183,1/2/2017,1/5/2018,2020,FALSE
161,33293746,10.2471/BLT.20.253583,1.033057851,81,18,,,,,,,,,,,TaqMan PCR probe,0-2 years,,Tanzania,Geita Region,Nyang'hwale District,,,32.1349,-3.4085,32.1349,-3.4085,Nyang'hwale District,32.62775,-0.4928,-3.0856,-0.3229,ADM-2,5259,1/2/2017,1/5/2018,2020,FALSE
162,33293746,10.2471/BLT.20.253583,1.019384757,366,88,5,,,,,,,,,,TaqMan PCR probe,0-2 years,,Tanzania,Tabora Region,Nzega District,,,33.0708,-4.2098,33.0708,-4.2098,Nzega District,32.89868,0.1721,-4.39207,0.1823,ADM-2,10668,1/2/2017,1/5/2018,2020,FALSE
163,33293746,10.2471/BLT.20.253583,1.030660006,371,108,6,,,,,,,,,1,TaqMan PCR probe,0-2 years,,Tanzania,Mara Region,Rorya District,,,34.0207,-1.4531,34.0207,-1.9965,Rorya District,34.06414,-0.0434,-1.45308,-0.5434,ADM-2,5149,1/2/2017,1/5/2018,2020,FALSE
164,33293746,10.2471/BLT.20.253583,1.034225643,525,169,11,,,,,,,,,,TaqMan PCR probe,0-2 years,,Tanzania,Mwanza Region,Sengerema District,,,32.9176,-2.6025,32.9176,-2.6025,Sengerema District,32.62775,0.2899,-2.67725,0.0747,ADM-2,7086,1/2/2017,1/5/2018,2020,FALSE
165,33293746,10.2471/BLT.20.253583,1.009973488,73,15,1,,,,,,,,,,TaqMan PCR probe,0-2 years,,Tanzania,Mara Region,Serengeti District,,,34.7098,-2.3175,34.7098,-2.3175,Serengeti District,34.68565,0.0241,-1.8936,-0.4239,ADM-2,14763,1/2/2017,1/5/2018,2020,FALSE
166,33293746,10.2471/BLT.20.253583,1.011980437,543,137,12,,,,,,,,,,TaqMan PCR probe,0-2 years,,Tanzania,Shinyanga Region,Shinyanga District,,,33.1689,-3.4355,33.9241,-3.4355,Shinyanga District,33.16889,0.7552,-3.61432,0.1788,ADM-2,50781,1/2/2017,1/5/2018,2020,FALSE
167,33293746,10.2471/BLT.20.253583,1.046447681,182,50,,,,,,,,,,1,TaqMan PCR probe,0-2 years,,Tanzania,Tabora Region,Sikonge District,,,32.6121,-5.6354,32.6121,-5.6354,Sikonge District,32.75484,-0.1427,-5.6229,-0.0125,ADM-2,24860,1/2/2017,1/5/2018,2020,FALSE
168,33293746,10.2471/BLT.20.253583,1.018347107,267,60,3,,,,,,,,,,TaqMan PCR probe,0-2 years,,Tanzania,Singida Region,Singida District,,,34.6628,-4.8186,34.6628,-5.6266,Singida District,34.72988,-0.0671,-4.81858,-0.8080,ADM-2,49341,1/2/2017,1/5/2018,2020,FALSE
169,33293746,10.2471/BLT.20.253583,0.9946266475,288,53,6,,,,,,,,,,TaqMan PCR probe,0-2 years,,Tanzania,Tabora Region,Tabora District,,,32.8111,-4.8907,32.8111,-4.8907,Tabora District,32.81973,-0.0086,-5.04249,0.1518,ADM-2,76151,1/2/2017,1/5/2018,2020,FALSE
170,33293746,10.2471/BLT.20.253583,1.056268253,164,51,,,,,,,,,,,TaqMan PCR probe,0-2 years,,Tanzania,Mara Region,Tarime District,,,34.2515,-1.4166,34.2515,-1.4166,Tarime District,34.46418,-0.2127,-1.41408,-0.0025,ADM-2,13935,1/2/2017,1/5/2018,2020,FALSE
171,33293746,10.2471/BLT.20.253583,1.013096395,113,31,3,,,,,,,,,,TaqMan PCR probe,0-2 years,,Tanzania,Mwanza Region,Ukerewe District,,,33.0045,-2.0556,33.0045,-2.0556,Ukerewe District,33.03388,-0.0294,-2.02989,-0.0257,ADM-2,530,1/2/2017,1/5/2018,2020,FALSE
172,33293746,10.2471/BLT.20.253583,1.000696301,165,41,5,,,,,,,,,,TaqMan PCR probe,0-2 years,,Tanzania,Tabora Region,Urambo District,,,32.3786,-5.1058,32.3786,-5.1058,Urambo District,32.06954,0.3091,-5.07768,-0.0281,ADM-2,8494,1/2/2017,1/5/2018,2020,FALSE
173,33293746,10.2471/BLT.20.253583,1.00101856,80,13,1,,,,,,,,,,TaqMan PCR probe,0-2 years,,Tanzania,Kigoma Region,Uvinza District,,,30.3887,-5.1074,30.3887,-5.1074,Uvinza District,30.3839,0.0048,-5.10686,-0.0005,ADM-2,16800,1/2/2017,1/5/2018,2020,FALSE
174,33293746,10.2471/BLT.20.253583,1.021327643,220,63,5,,,,,,,,,,TaqMan PCR probe,0-2 years,,Tanzania,Tabora Region,Uyui District,,,33.3486,-5.0199,32.4215,-5.0199,Uyui District,33.34861,-0.9271,-5.14557,0.1257,ADM-2,12770,1/2/2017,1/5/2018,2020,FALSE
175,33425142,10.11604/pamj.2020.37.109.17864,1.0256,84,16,,,,,,,,,,,cellulose acetate haemoglobin electrophoretic,18-35 years,,Cameroon,Southwest Region,Fako Division,Buea Municipality,,9.2333,4.1500,9.2333,4.1500,Buea Municipality,9.263224,-0.0299,4.155966,-0.0060,ADM-3,216,1/1/2017,1/3/2017,2020,FALSE
176,31145786,10.1093/inthealth/ihz028,,,,,,,,369,52,2,,,5,isoelectric focusing,newborns,Muhimbili National Hospita Temeke Regional Hospital,Tanzania,Dar es Salaam,Ilala District,,,39.2804,-6.8028,39.2804,-6.8028,Ilala District,39.13355,0.1469,-6.92759,0.1248,ADM-2,273,1/1/2015,1/11/2016,2019,FALSE
