country	longitude	latitude	polygon_id	source	Pfsa1_+	Pfsa1_N	Pfsa2_+	Pfsa2_N	Pfsa3_+	Pfsa3_N	Pfsa4_+	Pfsa4_N	Pfsa12_--	Pfsa12_-+	Pfsa12_+-	Pfsa12_++	Pfsa13_--	Pfsa13_-+	Pfsa13_+-	Pfsa13_++	Pfsa14_--	Pfsa14_-+	Pfsa14_+-	Pfsa14_++	Pfsa23_--	Pfsa23_-+	Pfsa23_+-	Pfsa23_++	Pfsa24_--	Pfsa24_-+	Pfsa24_+-	Pfsa24_++	Pfsa34_--	Pfsa34_-+	Pfsa34_+-	Pfsa34_++
Democratic Republic of the Congo	17.7762964200002	-3.477585381086422	7414	Verity et al 2021	10	12	7	9	5	8	12	12	1	1	1	4	2	0	1	5	0	2	0	8	2	0	1	3	0	2	0	6	0	3	0	4
Democratic Republic of the Congo	17.77629642000009	-1.7455347648603583	7415	Verity et al 2021	5	6	3	4	1	6	8	8	1	0	0	3	1	0	2	1	0	1	0	5	1	0	2	0	0	1	0	3	0	5	0	1
Democratic Republic of the Congo	17.77629642000021	-0.013483986666902514	7416	Verity et al 2021	3	3	2	2	0	2	3	3	0	0	0	2	0	0	2	0	0	0	0	2	0	0	2	0	0	0	0	1	0	1	0	0
Democratic Republic of the Congo	17.77629642000014	1.7185667927769739	7417	Verity et al 2021	2	2	2	2	0	1	2	3	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	1	0	1	0	0
Democratic Republic of the Congo	18.2762964199998	-4.343610578239518	7451	Verity et al 2021	7	7	5	5	4	4	5	5	0	0	0	5	0	0	0	4	0	0	0	5	0	0	0	3	0	0	0	4	0	0	0	3
Democratic Republic of the Congo	18.27629641999993	-2.6115601032642606	7452	Verity et al 2021	4	4	4	4	2	2	3	3	0	0	0	3	0	0	0	1	0	0	0	2	0	0	0	2	0	0	0	2	0	0	0	1
Democratic Republic of the Congo	18.27629641999982	-0.8795093859647962	7453	Verity et al 2021	4	6	3	6	0	4	9	9	1	0	1	1	2	0	1	0	0	2	0	4	1	0	1	0	0	3	0	3	0	4	0	0
Democratic Republic of the Congo	18.276296419999753	4.316642612724015	7456	Verity et al 2021	2	3	3	3	1	2	2	3	0	1	0	2	1	0	0	1	1	0	0	2	0	0	1	1	0	0	1	2	1	0	0	1
Democratic Republic of the Congo	18.776296420000122	-5.209635674628809	7487	Verity et al 2021	2	3	2	2	1	1	2	2	0	0	0	2	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	2	0	0	0	1
Democratic Republic of the Congo	18.776296420000143	-3.477585381086356	7488	Verity et al 2021	1	2	2	2	1	2	2	2	0	1	0	1	1	0	0	1	0	1	0	1	0	0	1	1	0	0	0	2	0	1	0	1
Democratic Republic of the Congo	18.77629642000024	-1.745534764860282	7489	Verity et al 2021	4	5	5	5	4	5	7	7	0	0	0	3	0	0	0	3	0	1	0	4	0	0	1	4	0	0	0	5	0	1	0	4
Democratic Republic of the Congo	18.776296420000065	-0.013483986666996189	7490	Verity et al 2021	2	2	2	2	1	1	2	2	0	0	0	2	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	2	0	0	0	1
Democratic Republic of the Congo	18.776296419999948	3.4506174127577087	7492	Verity et al 2021	5	5	5	5	4	4	4	4	0	0	0	5	0	0	0	4	0	0	0	4	0	0	0	4	0	0	0	4	0	0	0	4
Democratic Republic of the Congo	18.776296420000243	5.1826677125558245	7493	Verity et al 2021	10	11	9	9	8	9	7	8	0	1	0	8	1	0	0	8	1	0	0	7	0	0	1	7	0	0	1	7	1	0	0	6
Democratic Republic of the Congo	19.276296419999984	-6.0756606501665615	7524	Verity et al 2021	2	5	1	3	1	2	4	4	2	0	0	1	1	0	0	1	0	3	0	1	1	0	0	1	0	2	0	1	0	1	0	1
Democratic Republic of the Congo	19.27629642000011	-4.343610578239407	7525	Verity et al 2021	0	1	0	1	0	1	1	1	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0
Democratic Republic of the Congo	19.27629642000036	-0.879509385964897	7527	Verity et al 2021	8	14	11	13	8	10	7	10	1	3	0	8	1	1	0	7	0	1	3	4	1	0	1	7	0	1	3	5	0	2	3	3
Democratic Republic of the Congo	19.276296420000314	0.8525414129436361	7528	Verity et al 2021	4	4	3	4	2	4	6	6	0	0	1	2	0	0	1	1	0	0	0	3	1	0	0	1	0	1	0	3	0	2	0	2
Democratic Republic of the Congo	19.27629642000022	2.5845921327451427	7529	Verity et al 2021	6	9	10	10	4	9	9	10	0	3	0	5	2	0	1	3	1	2	0	5	0	0	3	4	0	0	1	8	1	1	0	4
Democratic Republic of the Congo	19.276296420000204	4.316642612724217	7530	Verity et al 2021	4	4	6	6	6	6	6	6	0	0	0	4	0	0	0	4	0	0	0	4	0	0	0	6	0	0	0	5	0	0	0	5
